rcv	1.8539960384368896	S	0	0	0
snd	1.8543269634246826	SA	0	0	1
rcv	1.860102891921997	A	1	0	1
rcv	1.8627219200134277	D	1	50	1
snd	1.8629717826843262	A	1	0	51
rcv	1.8641548156738281	D	201	50	1
snd/DA	1.8643858432769775	A	1	0	51
rcv	1.8649320602416992	D	301	50	1
snd/DA	1.8651628494262695	A	1	0	51
rcv	1.8657479286193848	D	401	50	1
snd/DA	1.8659148216247559	A	1	0	51
rcv	1.8662419319152832	D	451	50	1
snd/DA	1.8664288520812988	A	1	0	51
rcv	1.868135929107666	D	51	50	1
snd	1.868393898010254	A	1	0	101
rcv	2.1122570037841797	D	101	50	1
snd	2.1125118732452393	A	1	0	151
rcv	2.1178488731384277	D	601	50	1
snd/DA	2.118109941482544	A	1	0	151
rcv	2.76173996925354	D	501	50	1
snd/DA	2.762089967727661	A	1	0	151
rcv	5.241450786590576	D	151	50	1
snd	5.24181604385376	A	1	0	251
rcv	8.329651832580566	D	251	50	1
snd	8.330466985702515	A	1	0	351
rcv	9.877650737762451	D	351	50	1
snd	9.878022909164429	A	1	0	551
rcv	9.89202094078064	D	1001	50	1
snd/DA	9.89237380027771	A	1	0	551
rcv	17.589657068252563	D	551	50	1
snd	17.590049982070923	A	1	0	651
rcv	17.80725383758545	D	1101	50	1
snd/DA	17.807615995407104	A	1	0	651
rcv	24.022764921188354	D	651	50	1
snd	24.02314066886902	A	1	0	701
rcv	25.593255758285522	D	701	50	1
snd	25.593724727630615	A	1	0	751
rcv	25.600432872772217	D	1201	50	1
snd/DA	25.600769996643066	A	1	0	751
rcv	29.34143090248108	D	751	50	1
snd	29.34180498123169	A	1	0	801
rcv	32.466227769851685	D	801	50	1
snd	32.46660399436951	A	1	0	851
rcv	40.21057891845703	D	851	50	1
snd	40.21095275878906	A	1	0	901
rcv	42.19620871543884	D	901	50	1
snd	42.19659686088562	A	1	0	951
rcv	44.36769771575928	D	951	50	1
snd	44.36819386482239	A	1	0	1051
rcv	44.3742458820343	D	1501	50	1
snd/DA	44.37459182739258	A	1	0	1051
rcv	46.638890981674194	D	1051	50	1
snd	46.6392879486084	A	1	0	1151
rcv	46.64504909515381	D	1551	50	1
snd/DA	46.64546775817871	A	1	0	1151
rcv	49.781296730041504	D	1151	50	1
snd	49.78168797492981	A	1	0	1251
rcv	51.34516882896423	D	1251	50	1
snd	51.34568786621094	A	1	0	1301
rcv	56.052581787109375	D	1301	50	1
snd	56.05295991897583	A	1	0	1351
rcv	57.62123990058899	D	1351	50	1
snd	57.62161874771118	A	1	0	1401
rcv	57.62834095954895	D	1851	50	1
snd/DA	57.6286838054657	A	1	0	1401
rcv	59.19768285751343	D	1401	50	1
snd	59.198062896728516	A	1	0	1451
rcv	60.76517295837402	D	1451	50	1
snd	60.765564918518066	A	1	0	1601
rcv	60.77231979370117	D	1951	50	1
snd/DA	60.77266192436218	A	1	0	1601
rcv	60.77323269844055	D	2001	50	1
snd/DA	60.773690700531006	A	1	0	1601
rcv	62.34606885910034	D	1601	50	1
snd	62.346449851989746	A	1	0	1651
rcv	64.40674090385437	D	1651	50	1
snd	64.40718197822571	A	1	0	1701
rcv	70.66451096534729	D	1701	50	1
snd	70.6648907661438	A	1	0	1751
rcv	72.20529389381409	D	1751	50	1
snd	72.20570993423462	A	1	0	1801
rcv	73.74690508842468	D	1801	50	1
snd	73.74727177619934	A	1	0	1901
rcv	73.75467276573181	D	2351	50	1
snd/DA	73.7549958229065	A	1	0	1901
rcv	76.851233959198	D	1901	50	1
snd	76.85160279273987	A	1	0	2051
rcv	76.85890889167786	D	2451	50	1
snd/DA	76.85925602912903	A	1	0	2051
rcv	77.55648303031921	D	2501	50	1
snd/DA	77.55679368972778	A	1	0	2051
rcv	86.1584107875824	D	2051	50	1
snd	86.15898180007935	A	1	0	2101
rcv	89.23403477668762	D	2101	50	1
snd	89.23442077636719	A	1	0	2151
rcv	93.90947389602661	D	2151	50	1
snd	93.90983295440674	A	1	0	2201
rcv	95.45125985145569	D	2201	50	1
snd	95.45161175727844	A	1	0	2251
rcv	97.97862386703491	D	2251	50	1
snd	97.9789297580719	A	1	0	2301
rcv	98.02218174934387	D	2751	50	1
snd/DA	98.02254676818848	A	1	0	2301
rcv	102.62676882743835	D	2301	50	1
snd	102.62715077400208	A	1	0	2401
rcv	102.6345567703247	D	2851	50	1
snd/DA	102.63500595092773	A	1	0	2401
rcv	105.72487187385559	D	2401	50	1
snd	105.72539377212524	A	1	0	2551
rcv	105.73189091682434	D	2901	50	1
snd/DA	105.73221588134766	A	1	0	2551
rcv	105.73316884040833	D	3001	50	1
snd/DA	105.73344993591309	A	1	0	2551
rcv	108.81721067428589	D	2551	50	1
snd	108.81772375106812	A	1	0	2601
rcv	109.71873784065247	D	3051	50	1
snd/DA	109.71909976005554	A	1	0	2601
rcv	116.56644868850708	D	2601	50	1
snd	116.56681180000305	A	1	0	2651
rcv	116.57256889343262	D	3101	50	1
snd/DA	116.57291007041931	A	1	0	2651
rcv	119.66386675834656	D	2651	50	1
snd	119.66431188583374	A	1	0	2701
rcv	119.67129492759705	D	3151	50	1
snd/DA	119.67180895805359	A	1	0	2701
rcv	122.78779578208923	D	2701	50	1
snd	122.78816080093384	A	1	0	2801
rcv	122.79540586471558	D	3251	50	1
snd/DA	122.79574489593506	A	1	0	2801
rcv	125.88116669654846	D	2801	50	1
snd	125.88154888153076	A	1	0	2951
rcv	125.88903284072876	D	3351	50	1
snd/DA	125.88940691947937	A	1	0	2951
rcv	125.88977670669556	D	3401	50	1
snd/DA	125.89003801345825	A	1	0	2951
rcv	127.43878293037415	D	2951	50	1
snd	127.43919205665588	A	1	0	3201
rcv	127.44683575630188	D	3601	50	1
snd/DA	127.44715785980225	A	1	0	3201
rcv	127.44746494293213	D	3651	50	1
snd/DA	127.44766783714294	A	1	0	3201
rcv	128.99777579307556	D	3201	50	1
snd	128.9981460571289	A	1	0	3301
rcv	129.00546383857727	D	3751	50	1
snd/DA	129.00581073760986	A	1	0	3301
rcv	132.10839295387268	D	3301	50	1
snd	132.10876369476318	A	1	0	3451
rcv	132.11576795578003	D	3801	50	1
snd/DA	132.1162407398224	A	1	0	3451
rcv	132.11684489250183	D	3851	50	1
snd/DA	132.11715507507324	A	1	0	3451
rcv	133.65826773643494	D	3451	50	1
snd	133.65862703323364	A	1	0	3501
rcv	135.35646986961365	D	3501	50	1
snd	135.3569610118866	A	1	0	3551
rcv	135.36260390281677	D	4001	50	1
snd/DA	135.3630347251892	A	1	0	3551
rcv	136.90971684455872	D	3551	50	1
snd	136.9101848602295	A	1	0	3701
rcv	136.91677474975586	D	4051	50	1
snd/DA	136.91716694831848	A	1	0	3701
rcv	136.91789388656616	D	4101	50	1
snd/DA	136.91820573806763	A	1	0	3701
rcv	138.4587118625641	D	3701	50	1
snd	138.459077835083	A	1	0	3901
rcv	138.4658489227295	D	4201	50	1
snd/DA	138.46624994277954	A	1	0	3901
rcv	138.52006697654724	D	4351	50	1
snd/DA	138.520427942276	A	1	0	3901
rcv	138.86500787734985	D	4301	50	1
snd/DA	138.86522793769836	A	1	0	3901
rcv	138.86665177345276	D	3901	50	1
snd	138.86687588691711	A	1	0	3951
rcv	141.96256399154663	D	3951	50	1
snd	141.96301794052124	A	1	0	4151
rcv	141.96936702728271	D	4451	50	1
snd/DA	141.9700357913971	A	1	0	4151
rcv	147.49229884147644	D	4151	50	1
snd	147.4925889968872	A	1	0	4251
rcv	147.4985866546631	D	4701	50	1
snd/DA	147.4988510608673	A	1	0	4251
rcv	148.1605260372162	D	4651	50	1
snd/DA	148.16100788116455	A	1	0	4251
rcv	148.98474168777466	D	4251	50	1
snd	148.985182762146	A	1	0	4401
rcv	148.9919238090515	D	4751	50	1
snd/DA	148.99238801002502	A	1	0	4401
rcv	153.62165188789368	D	4401	50	1
snd	153.62203574180603	A	1	0	4501
rcv	153.6339979171753	D	4901	50	1
snd/DA	153.63426566123962	A	1	0	4501
rcv	153.6345977783203	D	4951	50	1
snd/DA	153.63488292694092	A	1	0	4501
rcv	155.1787109375	D	4501	50	1
snd	155.17908382415771	A	1	0	4551
rcv	156.71458196640015	D	4551	50	1
snd	156.71493887901306	A	1	0	4601
rcv	158.2609839439392	D	4601	50	1
snd	158.26165175437927	A	1	0	4801
rcv	158.2678518295288	D	5101	50	1
snd/DA	158.26817989349365	A	1	0	4801
rcv	158.26855087280273	D	5151	50	1
snd/DA	158.26875686645508	A	1	0	4801
rcv	159.80284786224365	D	4801	50	1
snd	159.80431294441223	A	1	0	4851
rcv	167.55864691734314	D	4851	50	1
snd	167.55902981758118	A	1	0	5001
rcv	167.56601285934448	D	5401	50	1
snd/DA	167.56633281707764	A	1	0	5001
rcv	167.880450963974	D	5451	50	1
snd/DA	167.88081979751587	A	1	0	5001
rcv	170.6376678943634	D	5001	50	1
snd	170.63803267478943	A	1	0	5051
rcv	170.64469695091248	D	5501	50	1
snd/DA	170.6450538635254	A	1	0	5051
rcv	175.27986097335815	D	5051	50	1
snd	175.2802460193634	A	1	0	5201
rcv	175.2870650291443	D	5551	50	1
snd/DA	175.2874150276184	A	1	0	5201
rcv	175.28822875022888	D	5651	50	1
snd/DA	175.28856492042542	A	1	0	5201
rcv	178.38857173919678	D	5201	50	1
snd	178.38893389701843	A	1	0	5251
rcv	178.39565587043762	D	5701	50	1
snd/DA	178.3960030078888	A	1	0	5251
rcv	184.5355498790741	D	5251	50	1
snd	184.53593802452087	A	1	0	5301
rcv	184.54285383224487	D	5751	50	1
snd/DA	184.543194770813	A	1	0	5301
rcv	186.68857288360596	D	5301	50	1
snd	186.6889567375183	A	1	0	5351
rcv	191.39695286750793	D	5351	50	1
snd	191.39732766151428	A	1	0	5601
rcv	191.40417981147766	D	5851	50	1
snd/DA	191.40454864501953	A	1	0	5601
rcv	191.40498685836792	D	5901	50	1
snd/DA	191.40524697303772	A	1	0	5601
rcv	191.4058439731598	D	5951	50	1
snd/DA	191.40607476234436	A	1	0	5601
rcv	191.4064769744873	D	6001	50	1
snd/DA	191.40669989585876	A	1	0	5601
rcv	197.66200184822083	D	5601	50	1
snd	197.6623899936676	A	1	0	5801
rcv	197.66921377182007	D	6101	50	1
snd/DA	197.66953587532043	A	1	0	5801
rcv	197.6705367565155	D	6201	50	1
snd/DA	197.67084002494812	A	1	0	5801
rcv	200.79628586769104	D	5801	50	1
snd	200.79666090011597	A	1	0	6051
rcv	200.80443000793457	D	6401	50	1
snd/DA	200.80477380752563	A	1	0	6051
rcv	200.8051929473877	D	6451	50	1
snd/DA	200.8054540157318	A	1	0	6051
rcv	200.80587577819824	D	6501	50	1
snd/DA	200.80611181259155	A	1	0	6051
rcv	200.83952403068542	D	6301	50	1
snd/DA	200.83985686302185	A	1	0	6051
rcv	203.31954789161682	D	6051	50	1
snd	203.31993889808655	A	1	0	6151
rcv	203.32596492767334	D	6601	50	1
snd/DA	203.32628870010376	A	1	0	6151
rcv	203.4391748905182	D	6551	50	1
snd/DA	203.4393630027771	A	1	0	6151
rcv	205.1489748954773	D	6151	50	1
snd	205.14942979812622	A	1	0	6251
rcv	205.15541982650757	D	6701	50	1
snd/DA	205.15575194358826	A	1	0	6251
rcv	208.28361082077026	D	6251	50	1
snd	208.28405499458313	A	1	0	6351
rcv	209.86717987060547	D	6351	50	1
