rcv	1.4857547283172607	S	0	0	0
snd	1.4862349033355713	SA	0	0	1
rcv	1.4925050735473633	A	1	0	1
rcv	1.4959218502044678	D	1	50	1
snd	1.4961669445037842	A	1	0	51
rcv	1.497466802597046	D	201	50	1
snd/DA	1.4976789951324463	A	1	0	51
rcv	1.4982128143310547	D	301	50	1
snd/DA	1.4984660148620605	A	1	0	51
rcv	1.4989569187164307	D	401	50	1
snd/DA	1.499119758605957	A	1	0	51
rcv	1.4994537830352783	D	451	50	1
snd/DA	1.4996659755706787	A	1	0	51
rcv	1.5012867450714111	D	51	50	1
snd	1.5015339851379395	A	1	0	101
rcv	1.7458288669586182	D	101	50	1
snd	1.746243953704834	A	1	0	151
rcv	1.7510037422180176	D	601	50	1
snd/DA	1.7512938976287842	A	1	0	151
rcv	2.3976409435272217	D	501	50	1
snd/DA	2.39801287651062	A	1	0	151
rcv	3.7448770999908447	D	151	50	1
snd	3.7453408241271973	A	1	0	251
rcv	5.81095814704895	D	251	50	1
snd	5.811354875564575	A	1	0	351
rcv	6.843711853027344	D	351	50	1
snd	6.844273805618286	A	1	0	551
rcv	6.859686851501465	D	1001	50	1
snd/DA	6.860015869140625	A	1	0	551
rcv	11.984308004379272	D	551	50	1
snd	11.984676837921143	A	1	0	651
rcv	12.202378034591675	D	1101	50	1
snd/DA	12.202733993530273	A	1	0	651
rcv	16.239609956741333	D	651	50	1
snd	16.240118980407715	A	1	0	701
rcv	17.26529574394226	D	701	50	1
snd	17.265967845916748	A	1	0	751
rcv	17.27287983894348	D	1201	50	1
snd/DA	17.27326798439026	A	1	0	751
rcv	19.946815013885498	D	751	50	1
snd	19.94720983505249	A	1	0	801
rcv	21.97777795791626	D	801	50	1
snd	21.978084802627563	A	1	0	851
rcv	27.109720945358276	D	851	50	1
snd	27.11010503768921	A	1	0	901
rcv	28.56723403930664	D	901	50	1
snd	28.567631721496582	A	1	0	951
rcv	30.18025803565979	D	951	50	1
snd	30.180782079696655	A	1	0	1051
rcv	30.186213731765747	D	1501	50	1
snd/DA	30.18650484085083	A	1	0	1051
rcv	31.916136980056763	D	1051	50	1
snd	31.916558980941772	A	1	0	1151
rcv	31.921316146850586	D	1551	50	1
snd/DA	31.921595811843872	A	1	0	1151
rcv	33.964576959609985	D	1151	50	1
snd	33.96492004394531	A	1	0	1251
rcv	34.9977080821991	D	1251	50	1
snd	34.99807405471802	A	1	0	1301
rcv	38.07032895088196	D	1301	50	1
snd	38.07070302963257	A	1	0	1351
rcv	39.09344291687012	D	1351	50	1
snd	39.09368586540222	A	1	0	1401
rcv	39.10000991821289	D	1851	50	1
snd/DA	39.100244998931885	A	1	0	1401
rcv	40.1145498752594	D	1401	50	1
snd	40.11493802070618	A	1	0	1451
rcv	41.14445495605469	D	1451	50	1
snd	41.14494800567627	A	1	0	1601
rcv	41.15173602104187	D	1951	50	1
snd/DA	41.152058839797974	A	1	0	1601
rcv	41.15273594856262	D	2001	50	1
snd/DA	41.15305495262146	A	1	0	1601
rcv	42.1864058971405	D	1601	50	1
snd	42.18679189682007	A	1	0	1651
rcv	43.70918393135071	D	1651	50	1
snd	43.70957899093628	A	1	0	1701
rcv	47.80969190597534	D	1701	50	1
snd	47.810056924819946	A	1	0	1751
rcv	48.85313391685486	D	1751	50	1
snd	48.85350704193115	A	1	0	1801
rcv	49.89231300354004	D	1801	50	1
snd	49.89269495010376	A	1	0	1901
rcv	49.89887309074402	D	2351	50	1
snd/DA	49.899056911468506	A	1	0	1901
rcv	51.960057973861694	D	1901	50	1
snd	51.96043276786804	A	1	0	2051
rcv	51.967997789382935	D	2451	50	1
snd/DA	51.968395948410034	A	1	0	2051
rcv	52.66740608215332	D	2501	50	1
snd/DA	52.66773295402527	A	1	0	2051
rcv	58.08636212348938	D	2051	50	1
snd	58.08666491508484	A	1	0	2101
rcv	60.153780937194824	D	2101	50	1
snd	60.15415811538696	A	1	0	2151
rcv	63.25050377845764	D	2151	50	1
snd	63.250929832458496	A	1	0	2201
rcv	64.29738092422485	D	2201	50	1
snd	64.29774689674377	A	1	0	2251
rcv	66.31624913215637	D	2251	50	1
snd	66.31661987304688	A	1	0	2301
rcv	66.36106991767883	D	2751	50	1
snd/DA	66.36141991615295	A	1	0	2301
rcv	69.37273693084717	D	2301	50	1
snd	69.37312507629395	A	1	0	2401
rcv	69.37988996505737	D	2851	50	1
snd/DA	69.38024806976318	A	1	0	2401
rcv	71.44927597045898	D	2401	50	1
snd	71.44964981079102	A	1	0	2551
rcv	71.45658898353577	D	2901	50	1
snd/DA	71.4569149017334	A	1	0	2551
rcv	71.45793414115906	D	3001	50	1
snd/DA	71.45833587646484	A	1	0	2551
rcv	73.53805899620056	D	2551	50	1
snd	73.53842401504517	A	1	0	2601
rcv	74.45319294929504	D	3051	50	1
snd/DA	74.45357584953308	A	1	0	2601
rcv	78.73140501976013	D	2601	50	1
snd	78.73169684410095	A	1	0	2651
rcv	78.7371129989624	D	3101	50	1
snd/DA	78.73745775222778	A	1	0	2651
rcv	80.79100704193115	D	2651	50	1
snd	80.7913179397583	A	1	0	2701
rcv	80.79231190681458	D	3151	50	1
snd/DA	80.7925398349762	A	1	0	2701
rcv	82.84164094924927	D	2701	50	1
snd	82.84201192855835	A	1	0	2801
rcv	82.84936594963074	D	3251	50	1
snd/DA	82.84970593452454	A	1	0	2801
rcv	84.9099190235138	D	2801	50	1
snd	84.91029500961304	A	1	0	2951
rcv	84.91772294044495	D	3351	50	1
snd/DA	84.91805291175842	A	1	0	2951
rcv	84.9184889793396	D	3401	50	1
snd/DA	84.91877388954163	A	1	0	2951
rcv	85.94957995414734	D	2951	50	1
snd	85.95001077651978	A	1	0	3201
rcv	85.95779991149902	D	3601	50	1
snd/DA	85.95809984207153	A	1	0	3201
rcv	85.95874404907227	D	3651	50	1
snd/DA	85.95905900001526	A	1	0	3201
rcv	86.98888278007507	D	3201	50	1
snd	86.98922991752625	A	1	0	3301
rcv	86.99933099746704	D	3751	50	1
snd/DA	86.99962282180786	A	1	0	3301
rcv	89.0548050403595	D	3301	50	1
snd	89.05519199371338	A	1	0	3451
rcv	89.06229090690613	D	3801	50	1
snd/DA	89.06267094612122	A	1	0	3451
rcv	89.06327986717224	D	3851	50	1
snd/DA	89.0636260509491	A	1	0	3451
rcv	90.08856391906738	D	3451	50	1
snd	90.08895778656006	A	1	0	3501
rcv	91.28207492828369	D	3501	50	1
snd	91.28246283531189	A	1	0	3551
rcv	91.28778076171875	D	4001	50	1
snd/DA	91.28811192512512	A	1	0	3551
rcv	92.31741905212402	D	3551	50	1
snd	92.31781697273254	A	1	0	3701
rcv	92.32369899749756	D	4051	50	1
snd/DA	92.32392811775208	A	1	0	3701
rcv	92.32441687583923	D	4101	50	1
snd/DA	92.324697971344	A	1	0	3701
rcv	93.36601996421814	D	3701	50	1
snd	93.36637210845947	A	1	0	3901
rcv	93.38087177276611	D	4201	50	1
snd/DA	93.38117980957031	A	1	0	3901
rcv	93.43280982971191	D	4351	50	1
snd/DA	93.43323183059692	A	1	0	3901
rcv	93.77980279922485	D	4301	50	1
snd/DA	93.78006982803345	A	1	0	3901
rcv	93.78613996505737	D	3901	50	1
snd	93.78661298751831	A	1	0	3951
rcv	95.85106778144836	D	3951	50	1
snd	95.85145902633667	A	1	0	4151
rcv	95.86177086830139	D	4451	50	1
snd/DA	95.86218500137329	A	1	0	4151
rcv	99.86098980903625	D	4151	50	1
snd	99.86131501197815	A	1	0	4251
rcv	99.86717987060547	D	4701	50	1
snd/DA	99.86748385429382	A	1	0	4251
rcv	100.53101897239685	D	4651	50	1
snd/DA	100.53138303756714	A	1	0	4251
rcv	100.84619116783142	D	4251	50	1
snd	100.8466739654541	A	1	0	4401
rcv	100.85360789299011	D	4751	50	1
snd/DA	100.85401391983032	A	1	0	4401
rcv	103.93965196609497	D	4401	50	1
snd	103.93993091583252	A	1	0	4501
rcv	103.94636273384094	D	4901	50	1
snd/DA	103.94669485092163	A	1	0	4501
rcv	103.94718194007874	D	4951	50	1
snd/DA	103.94736886024475	A	1	0	4501
rcv	104.96530890464783	D	4501	50	1
snd	104.96568894386292	A	1	0	4551
rcv	106.00225877761841	D	4551	50	1
snd	106.00269484519958	A	1	0	4601
rcv	107.03392887115479	D	4601	50	1
snd	107.03444290161133	A	1	0	4801
rcv	107.04152178764343	D	5101	50	1
snd/DA	107.04192996025085	A	1	0	4801
rcv	107.04246592521667	D	5151	50	1
snd/DA	107.04277873039246	A	1	0	4801
rcv	108.07223391532898	D	4801	50	1
snd	108.07257390022278	A	1	0	4851
rcv	113.26697278022766	D	4851	50	1
snd	113.26734900474548	A	1	0	5001
rcv	113.27473187446594	D	5401	50	1
snd/DA	113.27511978149414	A	1	0	5001
rcv	113.5880799293518	D	5451	50	1
snd/DA	113.58832001686096	A	1	0	5001
rcv	115.35013890266418	D	5001	50	1
snd	115.35052108764648	A	1	0	5051
rcv	115.35742592811584	D	5501	50	1
snd/DA	115.35775589942932	A	1	0	5051
rcv	118.45822191238403	D	5051	50	1
snd	118.45859670639038	A	1	0	5201
rcv	118.46527576446533	D	5551	50	1
snd/DA	118.46554398536682	A	1	0	5201
rcv	118.46634888648987	D	5651	50	1
snd/DA	118.46661496162415	A	1	0	5201
rcv	120.52231979370117	D	5201	50	1
snd	120.52261877059937	A	1	0	5251
rcv	120.52983283996582	D	5701	50	1
snd/DA	120.53020477294922	A	1	0	5251
rcv	124.63833498954773	D	5251	50	1
snd	124.63876080513	A	1	0	5301
rcv	124.64579510688782	D	5751	50	1
snd/DA	124.64614486694336	A	1	0	5301
rcv	126.25072574615479	D	5301	50	1
snd	126.25113487243652	A	1	0	5351
rcv	129.3580379486084	D	5351	50	1
snd	129.3584508895874	A	1	0	5601
rcv	129.36539697647095	D	5851	50	1
snd/DA	129.36594986915588	A	1	0	5601
rcv	129.36673307418823	D	5901	50	1
snd/DA	129.36698293685913	A	1	0	5601
rcv	129.36745500564575	D	5951	50	1
snd/DA	129.36769580841064	A	1	0	5601
rcv	129.36815690994263	D	6001	50	1
snd/DA	129.36843991279602	A	1	0	5601
rcv	133.4563388824463	D	5601	50	1
snd	133.45686888694763	A	1	0	5801
rcv	133.4640829563141	D	6101	50	1
snd/DA	133.4644420146942	A	1	0	5801
rcv	133.4655418395996	D	6201	50	1
snd/DA	133.46585893630981	A	1	0	5801
rcv	135.50398206710815	D	5801	50	1
snd	135.50437808036804	A	1	0	6051
rcv	135.5151379108429	D	6401	50	1
snd/DA	135.51550793647766	A	1	0	6051
rcv	135.51604890823364	D	6451	50	1
snd/DA	135.51630902290344	A	1	0	6051
rcv	135.5167579650879	D	6501	50	1
snd/DA	135.51697897911072	A	1	0	6051
rcv	135.5545539855957	D	6301	50	1
snd/DA	135.55499792099	A	1	0	6051
rcv	137.4377100467682	D	6051	50	1
snd	137.43813395500183	A	1	0	6151
rcv	137.43958282470703	D	6601	50	1
snd/DA	137.43985414505005	A	1	0	6151
