snd	0.004385948181152344	S	0	0	0
rcv	0.0049610137939453125	SA	0	0	1
snd	0.005753040313720703	A	1	0	1
snd	0.0084991455078125	D	1	50	1
drop	0.008851289749145508	D	51	50	1
drop	0.00972890853881836	D	151	50	1
snd	0.010766983032226562	D	201	50	1
drop	0.011220932006835938	D	251	50	1
snd	0.011890172958374023	D	301	50	1
drop	0.012140035629272461	D	351	50	1
snd	0.012830257415771484	D	401	50	1
snd	0.01341104507446289	D	451	50	1
rcv	0.013786077499389648	A	1	0	51
rcv/DA	0.014406204223632812	A	1	0	51
rcv/DA	0.014668941497802734	A	1	0	51
rcv/DA	0.01491403579711914	A	1	0	51
snd/RXT	0.015664100646972656	D	51	50	1
rcv/DA	0.015903949737548828	A	1	0	51
rcv	0.016149044036865234	A	1	0	101
drop	0.01654219627380371	D	551	50	1
snd/dely0.2603781223297119	D	101	50	1
rcv	0.262066125869751	A	1	0	151
snd	0.26299118995666504	D	601	50	1
rcv/DA	0.2634239196777344	A	1	0	151
snd/dely	0.9109420776367188	D	501	50	1
rcv/DA	0.9120910167694092	A	1	0	151
drop	1.6318151950836182	D	151	50	1
snd/RXT	3.2863900661468506	D	151	50	1
rcv	3.287130117416382	A	1	0	251
drop	3.292924165725708	D	651	50	1
drop	3.2935101985931396	D	701	50	1
drop	3.399029016494751	D	251	50	1
snd/RXT	5.038150072097778	D	251	50	1
rcv	5.03884220123291	A	1	0	351
drop	5.0444982051849365	D	751	50	1
drop	5.044942140579224	D	801	50	1
snd/RXT	5.14823317527771	D	351	50	1
rcv	5.148943185806274	A	1	0	551
drop	5.154957056045532	D	851	50	1
drop	5.155304193496704	D	901	50	1
drop	5.155604124069214	D	951	50	1
snd/dely	5.162434101104736	D	1001	50	1
rcv/DA	5.164313077926636	A	1	0	551
drop	5.269379138946533	D	551	50	1
drop	6.914464950561523	D	551	50	1
drop	8.563943147659302	D	551	50	1
drop	10.207783222198486	D	551	50	1
snd/RXT	11.84915018081665	D	551	50	1
rcv	11.849857091903687	A	1	0	651
drop	11.855854988098145	D	1051	50	1
drop	11.960938215255737	D	651	50	1
snd/dely	12.063029050827026	D	1101	50	1
rcv/DA	12.064795017242432	A	1	0	651
drop	13.623273134231567	D	651	50	1
drop	15.262639999389648	D	651	50	1
snd/dely	17.111391305923462	D	651	50	1
rcv	17.113620281219482	A	1	0	701
drop	17.118133068084717	D	1151	50	1
snd/RXT	17.224777221679688	D	701	50	1
rcv	17.225472927093506	A	1	0	751
snd	17.232030153274536	D	1201	50	1
rcv/DA	17.232707023620605	A	1	0	751
drop	17.336294174194336	D	751	50	1
snd/dely	19.59911608695984	D	751	50	1
rcv	19.601353883743286	A	1	0	801
drop	19.605491161346436	D	1251	50	1
drop	19.709487199783325	D	801	50	1
snd/RXT	21.349520206451416	D	801	50	1
rcv	21.35013508796692	A	1	0	851
drop	21.35581111907959	D	1301	50	1
drop	21.458220958709717	D	851	50	1
drop	23.098595142364502	D	851	50	1
drop	24.728111028671265	D	851	50	1
drop	26.37855315208435	D	851	50	1
snd/RXT	28.028363943099976	D	851	50	1
rcv	28.029067039489746	A	1	0	901
drop	28.035717010498047	D	1351	50	1
snd/dely	28.575109004974365	D	901	50	1
rcv	28.57709503173828	A	1	0	951
drop	28.581669092178345	D	1401	50	1
snd/dely	29.27233910560608	D	951	50	1
rcv	29.27365803718567	A	1	0	1051
drop	29.274020195007324	D	1451	50	1
snd	29.274719953536987	D	1501	50	1
rcv/DA	29.275168895721436	A	1	0	1051
snd/dely	30.077733039855957	D	1051	50	1
rcv	30.079761028289795	A	1	0	1151
snd	30.08072018623352	D	1551	50	1
drop	30.081106185913086	D	1601	50	1
rcv/DA	30.081359148025513	A	1	0	1151
drop	30.184980869293213	D	1151	50	1
snd/RXT	31.82529926300049	D	1151	50	1
rcv	31.826047897338867	A	1	0	1251
drop	31.82760214805603	D	1651	50	1
drop	31.828026056289673	D	1701	50	1
snd/RXT	31.929299116134644	D	1251	50	1
rcv	31.93004322052002	A	1	0	1301
drop	31.931758165359497	D	1751	50	1
drop	32.03446006774902	D	1301	50	1
drop	33.67822313308716	D	1301	50	1
snd/RXT	35.32758116722107	D	1301	50	1
rcv	35.328304052352905	A	1	0	1351
drop	35.334142208099365	D	1801	50	1
snd/RXT	35.43598508834839	D	1351	50	1
rcv	35.43644309043884	A	1	0	1401
snd	35.43879318237305	D	1851	50	1
rcv/DA	35.43927216529846	A	1	0	1401
snd/RXT	35.54540419578552	D	1401	50	1
rcv	35.546152114868164	A	1	0	1451
drop	35.55139112472534	D	1901	50	1
snd/RXT	35.65375995635986	D	1451	50	1
rcv	35.65446901321411	A	1	0	1601
snd	35.6612012386322	D	1951	50	1
snd	35.66220211982727	D	2001	50	1
drop	35.662595987319946	D	2051	50	1
rcv/DA	35.66287612915039	A	1	0	1601
rcv/DA	35.66330528259277	A	1	0	1601
snd/RXT	35.76813316345215	D	1601	50	1
rcv	35.76884126663208	A	1	0	1651
drop	35.772271156311035	D	2101	50	1
snd/dely	36.3505220413208	D	1651	50	1
rcv	36.3527889251709	A	1	0	1701
drop	36.35701513290405	D	2151	50	1
drop	36.46259307861328	D	1701	50	1
drop	38.091209173202515	D	1701	50	1
drop	39.73016905784607	D	1701	50	1
snd/RXT	41.37377715110779	D	1701	50	1
rcv	41.37450098991394	A	1	0	1751
drop	41.38003921508789	D	2201	50	1
snd/RXT	41.48427891731262	D	1751	50	1
rcv	41.4847412109375	A	1	0	1801
drop	41.48660922050476	D	2251	50	1
snd/RXT	41.590402126312256	D	1801	50	1
rcv	41.59115409851074	A	1	0	1901
drop	41.595638036727905	D	2301	50	1
snd	41.59677004814148	D	2351	50	1
rcv/DA	41.597339153289795	A	1	0	1901
drop	41.70005226135254	D	1901	50	1
snd/RXT	43.34869599342346	D	1901	50	1
rcv	43.34942007064819	A	1	0	2051
drop	43.35522198677063	D	2401	50	1
snd	43.35673999786377	D	2451	50	1
rcv/DA	43.3578360080719	A	1	0	2051
drop	43.46061730384827	D	2051	50	1
snd/dely	44.05481791496277	D	2501	50	1
rcv/DA	44.05613303184509	A	1	0	2051
drop	45.18316411972046	D	2051	50	1
drop	46.817044258117676	D	2051	50	1
drop	48.459344148635864	D	2051	50	1
drop	50.100512981414795	D	2051	50	1
snd/RXT	51.7453989982605	D	2051	50	1
rcv	51.74613809585571	A	1	0	2101
drop	51.75188207626343	D	2551	50	1
drop	51.85392093658447	D	2101	50	1
snd/RXT	53.50070309638977	D	2101	50	1
rcv	53.50140619277954	A	1	0	2151
drop	53.506839990615845	D	2601	50	1
drop	53.6073682308197	D	2151	50	1
drop	55.235151052474976	D	2151	50	1
snd/RXT	56.886560916900635	D	2151	50	1
rcv	56.88724708557129	A	1	0	2201
drop	56.8928759098053	D	2651	50	1
snd/RXT	56.99967932701111	D	2201	50	1
rcv	57.000423192977905	A	1	0	2251
drop	57.00643515586853	D	2701	50	1
snd/dely	58.09118604660034	D	2251	50	1
rcv	58.09304904937744	A	1	0	2301
snd/dely	58.13016414642334	D	2751	50	1
rcv/DA	58.131715059280396	A	1	0	2301
drop	58.23718214035034	D	2301	50	1
drop	59.87875294685364	D	2301	50	1
snd/RXT	61.52999711036682	D	2301	50	1
rcv	61.53073024749756	A	1	0	2401
drop	61.53640699386597	D	2801	50	1
snd	61.537641286849976	D	2851	50	1
rcv/DA	61.538318157196045	A	1	0	2401
drop	61.638824224472046	D	2401	50	1
snd/RXT	63.28111815452576	D	2401	50	1
rcv	63.28180718421936	A	1	0	2551
snd	63.2883939743042	D	2901	50	1
drop	63.28897404670715	D	2951	50	1
snd	63.28979015350342	D	3001	50	1
rcv/DA	63.290056228637695	A	1	0	2551
rcv/DA	63.290303230285645	A	1	0	2551
drop	63.39305901527405	D	2551	50	1
snd/RXT	65.04281711578369	D	2551	50	1
rcv	65.04353618621826	A	1	0	2601
drop	65.15107202529907	D	2601	50	1
snd/dely	65.94354200363159	D	3051	50	1
rcv/DA	65.94479417800903	A	1	0	2601
drop	66.87689900398254	D	2601	50	1
drop	68.51665210723877	D	2601	50	1
drop	70.15832901000977	D	2601	50	1
snd/dely	71.85264921188354	D	2601	50	1
rcv	71.85491824150085	A	1	0	2651
snd	71.86025810241699	D	3101	50	1
rcv/DA	71.86091017723083	A	1	0	2651
drop	71.96560406684875	D	2651	50	1
snd/RXT	73.60843706130981	D	2651	50	1
rcv	73.60915112495422	A	1	0	2701
snd	73.61554408073425	D	3151	50	1
rcv/DA	73.61622714996338	A	1	0	2701
drop	73.72070002555847	D	2701	50	1
snd/RXT	75.36970019340515	D	2701	50	1
rcv	75.37040305137634	A	1	0	2801
drop	75.37600111961365	D	3201	50	1
snd	75.37728810310364	D	3251	50	1
rcv/DA	75.37800812721252	A	1	0	2801
drop	75.47863698005676	D	2801	50	1
snd/RXT	77.12540006637573	D	2801	50	1
rcv	77.12605905532837	A	1	0	2951
drop	77.12642025947571	D	3301	50	1
snd	77.12714791297913	D	3351	50	1
snd	77.12800717353821	D	3401	50	1
rcv/DA	77.12830209732056	A	1	0	2951
rcv/DA	77.1286072731018	A	1	0	2951
snd/RXT	77.23374199867249	D	2951	50	1
rcv	77.23445701599121	A	1	0	3201
drop	77.23974227905273	D	3451	50	1
drop	77.24010419845581	D	3501	50	1
drop	77.24032926559448	D	3551	50	1
snd	77.24108910560608	D	3601	50	1
snd	77.24182319641113	D	3651	50	1
rcv/DA	77.24209308624268	A	1	0	3201
rcv/DA	77.2423050403595	A	1	0	3201
snd/RXT	77.34536409378052	D	3201	50	1
rcv	77.34579515457153	A	1	0	3301
drop	77.34902715682983	D	3701	50	1
snd	77.34966230392456	D	3751	50	1
rcv/DA	77.35000491142273	A	1	0	3301
drop	78.77834010124207	D	3301	50	1
snd/RXT	80.41304016113281	D	3301	50	1
rcv	80.41376304626465	A	1	0	3451
snd	80.41475129127502	D	3801	50	1
snd	80.41572403907776	D	3851	50	1
drop	80.41605114936829	D	3901	50	1
rcv/DA	80.41633725166321	A	1	0	3451
rcv/DA	80.41673421859741	A	1	0	3451
snd/RXT	80.52077198028564	D	3451	50	1
rcv	80.52225399017334	A	1	0	3501
